Ticker,currentRatio,quickRatio,operatingCashFlow,freeCashflow,cashConversionCycle,Score
AMCR,-0.21386870109808362,-0.3726886718054655,0.0,-0.2506765155607917,0.0,-0.8372338884643409
AEE,-0.6613749264332088,-0.6585488161620542,0.0,-0.5091565326579506,0.0,-1.8290802752532136
AAL,-0.6698062031424215,-0.5106036537318898,0.0,-0.30363227505679563,0.0,-1.4840421319311068
AEP,-0.6996399514980963,-0.6577129677867425,0.0,-0.45149396737201614,0.0,-1.808846886656855
AXP,0.004047373847716545,0.46817479375806736,0.0,-0.34989455706707223,0.0,0.12232761053871166
AIG,-0.5206374613640462,-0.6995053865523256,0.0,0.5186621396855096,0.0,-0.7014807082308623
AMT,-0.6574835679520339,-0.44122823858102184,0.0,0.2888275693277827,0.0,-0.809884237205273
AWK,-0.49274939224895875,-0.28910383427429925,0.0,-0.4753766849344162,0.0,-1.2572299114576744
AMP,0.9684557174322547,0.9880724832019218,0.0,0.10961998703810029,0.0,2.066148187672277
AME,-0.32801521654588367,-0.3818830039338938,0.0,-0.19405770474221162,0.0,-0.9039559252219891
AMGN,-0.12501601577792107,-0.18545863573565305,0.0,0.15570136322737543,0.0,-0.15477328828619868
APH,0.2868194234797667,0.2057184039102052,0.0,-0.11341913606535313,0.0,0.37911869132461873
ADI,-0.06729419830715856,-0.16957751660473144,0.0,0.043541050931860135,0.0,-0.19333066398002988
ANSS,0.7712935543860544,1.3717268874699746,0.0,-0.2612299908514574,0.0,1.8817904510045715
AON,-0.1970061476796586,-0.48803574759847496,0.0,0.01850977149425319,0.0,-0.6665321237838804
APA,-0.29234443046844616,-0.22474350937530113,0.0,-0.18902088655312835,0.0,-0.7061088263968757
AAPL,-0.3747115183199837,-0.15286054909849817,0.0,10.79737492945039,0.0,10.269802862031908
AMAT,0.768050755651742,0.6136124110622967,0.0,0.27583855748279246,0.0,1.657501724196831
APTV,-0.20997734261690862,-0.1745926068566014,0.0,-0.21059788324424894,0.0,-0.595167832717759
ACGL,0.11235685157375414,-0.1428303685947582,0.0,-0.21148596330360342,0.0,-0.24195948032460748
ADM,-0.09388514792852103,-0.5824866140086928,0.0,0.27379929683658644,0.0,-0.4025724651006274
ANET,2.1994221169772805,2.181663963146976,0.0,-0.1493991225852042,0.0,4.231686957539052
AJG,-0.36887448059822114,-0.7596864695747654,0.0,-0.0022399901868534614,0.0,-1.13080094035984
AIZ,-0.7891411965651214,-0.770552498453817,0.0,-0.23228507633181564,0.0,-1.791978771350754
T,-0.6068959076967588,-0.5440375887443564,0.0,2.1460650887910235,0.0,0.9951315923499084
ATO,-0.166523839577121,0.0009355519588477415,0.0,-0.553991789437884,0.0,-0.7195800770561572
ADSK,-0.5135033041485588,-0.28408874402242923,0.0,-0.11425786477760205,0.0,-0.9118499129485901
ADP,-0.39027695224468373,-0.7814185273328687,0.0,0.2840302916816885,0.0,-0.887665187895864
AZO,-0.5180432223765963,-0.8023147367156602,0.0,-0.163117483514581,0.0,-1.4834754426068375
AVB,-0.2787246757843336,-0.5390224984924864,0.0,-0.1917471758826712,0.0,-1.0094943501594913
AVY,-0.48107531680543375,-0.45460181258600846,0.0,-0.25364993211882814,0.0,-1.1893270615102702
AXON,0.8380952083128921,1.1092704976221126,0.0,-0.32368458162468094,0.0,1.6236811243103237
