Ticker,forwardPE,priceToBook,priceToSalesTrailing12Months,pegRatio,enterpriseValueToEBITDA,Score
NXPI,-0.2141270870894488,-0.03889335229613379,0.22227623151523207,0.08171199949751384,0.0,-0.050967791627163306
ORLY,0.11764930884934274,-0.16546052017675164,-0.13586730078074508,0.11837779605457721,0.0,0.06530071605357676
OXY,-0.4467943180735559,-0.12477391856475187,-0.5378874235488937,0.09760051133890799,0.0,1.0118551488482934
ODFL,0.38814866378521423,-0.0179548541551085,0.6196862575166605,0.20393132135439176,0.0,-1.193811388501158
OMC,-0.605440644609988,-0.07950213891540803,-0.7399146767423859,0.03526865719190025,0.0,1.3895888030758816
ON,-0.3178843820476545,-0.10234914493557518,-0.09797514920016569,0.1024892842131831,0.0,0.4157193919702123
OKE,-0.3677458010216992,-0.11766327534407417,-0.38772091984011725,0.3811493380468647,0.0,0.4919806581590259
ORCL,-0.005132093034368164,0.8178566118274047,0.5464461462355035,0.10004489777604554,0.0,-1.4592155628045855
OTIS,0.20442879429139793,-0.16546052017675164,-0.3758450223745967,0.13915508077024644,0.0,0.19772166748970396
PCAR,-0.5467014392733583,-0.11179912908231289,-0.6646155635837249,0.08048980627894506,0.0,1.242626325660451
PKG,-0.10664342714338948,-0.09945020070988965,-0.5316921088596838,-0.3289449219415959,0.0,1.0667306586545588
PANW,2.2112607804430886,0.2182189946360328,2.3226283713126694,0.28337388056136237,0.0,-5.0354820269531535
PARA,-0.7889790906603121,-0.1595996166409774,-0.9839156304550617,-0.12117207478490347,0.0,2.0536664125412547
PH,0.04858117373216026,-0.06693314164652103,-0.17908320646777148,0.06826787409325728,0.0,0.12916730028887496
PAYX,0.372048013251623,0.03126299835674112,1.0938086084341527,0.2784851076870873,0.0,-1.7756047277296043
PAYC,0.05042316923225373,-0.05191255649805089,0.4515629237735791,0.11837779605457721,0.0,-0.5684513325623591
PYPL,-0.4268251840338042,-0.11200580559868227,-0.5045361901910783,-0.0319519698293826,0.0,1.0753191496529475
PNR,-0.1628173845056576,-0.09718462462874763,-0.2104399402599908,0.02549111144335001,0.0,0.444950837951046
PEP,0.048088589203924025,0.04890580077075763,-0.37842719317626256,0.23326395860004243,0.0,0.0481688446015385
PFE,-0.6587642799442412,-0.13679522665090393,-0.3214023000239634,-1.2810334392066747,0.0,2.3979952458257836
PCG,-0.5112391198170375,-0.1402819557076999,-0.5532098030020695,0.018157952131937355,0.0,1.1865729263948697
PM,-0.3772084879169271,-0.16546052017675164,0.015187934436940918,0.0548237486890007,0.0,0.4726573249677372
PSX,-0.6617981877097694,-0.13127194799991268,-0.9492799598633521,-0.40472090149286016,0.0,2.1470709970658945
PNW,-0.2735267686223215,-0.14204105632345476,-0.5843092945476814,0.141599467207384,0.0,0.8582776522860737
PNC,-0.6062487148110098,-0.14239310788362328,-0.2779659186555368,-5.335048345199315,0.0,6.361656086549485
POOL,0.37954440761626823,0.00545657296626124,-0.4151845048871551,-0.5367177690982884,0.0,0.5669012934029141
PPG,-0.38384261522718877,-0.10075597814206788,-0.6238271666532029,0.04382400972188171,0.0,1.064601750300578
PPL,-0.2600062231155578,-0.1401525270003792,-0.39435993225063226,0.16237675192305323,0.0,0.6321419304435161
PFG,-0.6859608468730108,-0.1363062426085632,-0.721625685780823,-0.039285129140795266,0.0,1.5831779044031922
PG,0.2897919771497891,-0.03454243415604231,0.1116039960740176,0.24548589078573024,0.0,-0.6123394298534947
PGR,-0.17677492265889538,-0.07389373544757984,-0.586671039151884,-0.06372899351217086,0.0,0.9010686907705301
PLD,1.3032566039248057,-0.1337924959615419,1.946491564062771,-1.058594273427157,0.0,-2.0573613985988777
PRU,-0.8102649920073481,-0.13936805330109436,-0.8746436271345689,-0.040507322359364044,0.0,1.8647839948023752
PEG,-0.09449377604585145,-0.12689163409891305,-0.15606421916008484,0.32126187033699455,0.0,0.05618775896785477
PTC,0.8237914110274251,-0.043328735168610695,1.381163562656901,0.1538213993930718,0.0,-2.3154476379087874
PSA,0.45266189167174303,-0.01779240818650608,1.670337793824252,-0.3167229897559081,0.0,-1.7884842875535811
PHM,-0.7735474259962073,-0.12747339341837582,-0.6759092577882165,0.07804541984180753,0.0,1.4988846573609922
QRVO,-0.5264104024301786,-0.12155298025409561,-0.42918420344570946,0.05237936225186315,0.0,1.0247682238781204
PWR,0.5153827870692383,-0.06622295922987727,-0.6072321098237664,0.07315664696753241,0.0,0.08491563501687291
QCOM,-0.17836281373582766,-0.02109406097196015,0.4173339195989044,0.060934714781844604,0.0,-0.27881175967296123
DGX,-0.32582791789038756,-0.12486223134501397,-0.6257547144520088,0.24793027722286778,0.0,0.8285145864645427
RL,-0.3469675853853354,-0.09747939552706675,-0.6509006698246987,-0.01850784442512602,0.0,1.113855495162227
RJF,-0.5224891170990572,-0.12628863146897806,-0.5109995593671348,-0.04417390201507038,0.0,1.2039512099502405
RTX,-0.19069444628821813,-0.12814096208669934,-0.5703548243075649,0.057268135126138264,0.0,0.831922097556344
O,0.9426979820257532,-0.1453919562985074,1.6489842379009676,0.04382400972188171,0.0,-2.490114273350095
REG,0.6155344567476583,-0.13853898722997285,0.925015435377577,-0.8239331754619513,0.0,-0.5780777294333111
REGN,0.043450747534857316,-0.10145971617865894,0.9912595818685134,0.12082218249171478,0.0,-1.0540727957164264
RF,-0.7480340305841281,-0.14585738754971467,-0.3806007256260033,-1.6183587675316577,0.0,2.8928509112915037
RSG,0.5507706817603896,-0.07620578310394772,-0.09123306174883454,0.27726291446851853,0.0,-0.6605947513761259
RMD,0.3787331288499251,-0.05244220337244402,0.6800843964298228,0.11837779605457721,0.0,-1.1247531179618808
RVTY,0.09360013524648644,-0.13718498777639357,0.1817392377267488,0.18315403663872254,0.0,-0.3213084218355642
RHI,-0.14268538090014116,-0.08701798434822672,-0.7538740706342362,-2.412784359601364,0.0,3.396361795483968
ROK,0.1659242666505656,-0.024011764634774328,-0.20559504221210273,0.6720313240662341,0.0,-0.6083487838699226
ROL,1.4850417782813117,0.14637869520458835,0.6951216246959109,0.2882626534356375,0.0,-2.6148047516174486
ROP,0.5172760498630522,-0.11234060369217452,1.193476185347019,0.31392871102558184,0.0,-1.9123403425434784
ROST,0.021346801533735648,-0.017066087112481934,-0.5141907289817265,0.03771304362903781,0.0,0.472196970931435
